RECHTSTRAEGER;QUARTAL;BEKANNTGABE;MEDIUM_MEDIENINHABER;EURO
User 90;19982;4;Movie 127;4
User 17;19981;4;Movie 117;3
User 360;19974;4;Movie 10;5
User 435;19981;4;Movie 729;2
User 272;19974;4;Movie 79;5
User 95;19974;4;Movie 532;4
User 74;19981;4;Movie 354;3
User 323;19974;4;Movie 238;4
User 437;19974;4;Movie 5;2
User 363;19982;4;Movie 557;1
User 389;19974;4;Movie 526;3
User 437;19974;4;Movie 214;4
User 10;19974;4;Movie 510;5
User 327;19981;4;Movie 672;2
User 249;19974;4;Movie 114;5
User 312;19982;4;Movie 1167;4
User 7;19981;4;Movie 465;4
User 437;19974;4;Movie 50;5
User 422;19973;4;Movie 100;4
User 159;19974;4;Movie 273;5
User 157;19981;4;Movie 476;1
User 64;19981;4;Movie 168;5
User 233;19974;4;Movie 603;4
User 28;19974;4;Movie 11;4
User 445;19981;4;Movie 291;2
User 447;19974;4;Movie 300;4
User 224;19981;4;Movie 286;3
User 401;19981;4;Movie 248;3
User 174;19981;4;Movie 158;2
User 83;19981;4;Movie 64;5
User 345;19981;4;Movie 381;4
User 59;19981;4;Movie 845;5
User 355;19974;4;Movie 242;4
User 393;19981;4;Movie 161;4
User 378;19974;4;Movie 768;4
User 276;19973;4;Movie 98;5
User 404;19981;4;Movie 342;3
User 259;19974;4;Movie 179;4
User 169;19981;4;Movie 211;5
User 301;19974;4;Movie 607;4
User 32;19981;4;Movie 508;4
User 405;19981;4;Movie 949;5
User 381;19982;4;Movie 89;5
User 174;19981;4;Movie 433;5
User 367;19974;4;Movie 769;3
User 322;19981;4;Movie 64;5
User 79;19981;4;Movie 582;5
User 435;19981;4;Movie 216;3
User 312;19982;4;Movie 71;4
User 186;19974;4;Movie 243;2
User 375;19981;4;Movie 525;4
User 430;19974;4;Movie 253;1
User 412;19974;4;Movie 508;4
User 399;19974;4;Movie 228;2
User 373;19974;4;Movie 1113;1
User 94;19982;4;Movie 1118;4
User 2;19981;4;Movie 277;4
User 378;19974;4;Movie 724;3
User 6;19974;4;Movie 536;4
User 268;19974;4;Movie 391;3
User 468;19973;4;Movie 461;4
User 158;19974;4;Movie 20;4
User 379;19974;4;Movie 203;4
User 4;19982;4;Movie 300;5
User 207;19974;4;Movie 841;3
User 432;19981;4;Movie 250;1
User 186;19974;4;Movie 1016;5
User 194;19974;4;Movie 491;3
User 81;19974;4;Movie 1;4
User 148;19974;4;Movie 432;5
User 416;19974;4;Movie 202;4
User 38;19982;4;Movie 112;5
User 195;19974;4;Movie 47;5
User 343;19974;4;Movie 463;4
User 378;19974;4;Movie 231;3
User 399;19974;4;Movie 364;4
User 426;19974;4;Movie 848;4
User 456;19974;4;Movie 448;3
User 299;19981;4;Movie 204;4
User 200;19981;4;Movie 58;4
User 257;19974;4;Movie 324;5
User 399;19974;4;Movie 67;3
User 75;19981;4;Movie 413;2
User 49;19981;4;Movie 1066;2
User 314;19974;4;Movie 1229;2
User 437;19974;4;Movie 658;4
User 389;19974;4;Movie 965;5
User 13;19974;4;Movie 23;5
User 11;19982;4;Movie 168;3
User 115;19974;4;Movie 237;2
User 345;19981;4;Movie 196;5
User 37;19974;4;Movie 89;4
User 332;19981;4;Movie 106;4
User 276;19973;4;Movie 258;5
User 422;19973;4;Movie 358;2
User 294;19981;4;Movie 1079;2
User 82;19974;4;Movie 238;3
User 430;19974;4;Movie 237;5
User 297;19973;4;Movie 447;4
User 18;19974;4;Movie 403;3
User 87;19974;4;Movie 405;4
User 201;19981;4;Movie 223;4
User 347;19974;4;Movie 172;5
User 55;19974;4;Movie 597;2
User 308;19981;4;Movie 31;3
User 373;19974;4;Movie 215;4
User 320;19981;4;Movie 95;3
User 437;19974;4;Movie 283;1
User 326;19974;4;Movie 89;4
User 312;19982;4;Movie 653;5
User 328;19981;4;Movie 333;3
User 330;19974;4;Movie 67;4
User 145;19974;4;Movie 12;5
User 95;19974;4;Movie 815;3
User 323;19974;4;Movie 204;3
User 158;19974;4;Movie 430;5
User 89;19974;4;Movie 269;5
User 176;19981;4;Movie 347;4
User 13;19974;4;Movie 435;5
User 144;19981;4;Movie 68;2
User 139;19974;4;Movie 296;4
User 182;19981;4;Movie 257;3
User 7;19981;4;Movie 584;4
User 82;19974;4;Movie 588;5
User 94;19982;4;Movie 318;5
User 65;19974;4;Movie 378;5
User 301;19974;4;Movie 474;4
User 313;19981;4;Movie 768;3
User 345;19981;4;Movie 1221;3
User 308;19981;4;Movie 495;3
User 292;19974;4;Movie 20;2
User 293;19981;4;Movie 26;3
User 460;19974;4;Movie 257;2
User 49;19981;4;Movie 218;2
User 437;19974;4;Movie 485;4
User 246;19981;4;Movie 250;4
User 402;19974;4;Movie 245;1
User 343;19974;4;Movie 358;1
User 416;19982;4;Movie 168;5
User 442;19974;4;Movie 591;3
User 349;19974;4;Movie 20;5
User 334;19982;4;Movie 111;3
User 243;19974;4;Movie 14;3
User 267;19974;4;Movie 29;3
User 458;19981;4;Movie 318;4
User 109;19974;4;Movie 1222;4
User 102;19981;4;Movie 230;2
User 416;19982;4;Movie 85;3
User 194;19974;4;Movie 485;3
User 269;19982;4;Movie 928;1
User 1;19973;4;Movie 246;5
User 406;19974;4;Movie 22;3
User 181;19974;4;Movie 471;2
User 269;19982;4;Movie 425;5
User 201;19981;4;Movie 773;4
User 411;19982;4;Movie 451;4
User 328;19981;4;Movie 383;3
User 333;19981;4;Movie 300;4
User 442;19974;4;Movie 22;2
User 197;19982;4;Movie 188;3
User 43;19981;4;Movie 88;5
User 457;19974;4;Movie 720;3
User 54;19974;4;Movie 829;2
User 37;19974;4;Movie 550;4
User 210;19981;4;Movie 411;3
User 11;19982;4;Movie 370;3
User 151;19974;4;Movie 627;2
User 212;19974;4;Movie 382;5
User 347;19974;4;Movie 233;5
User 380;19981;4;Movie 183;4
User 330;19974;4;Movie 370;4
User 284;19981;4;Movie 301;5
User 468;19973;4;Movie 642;3
User 292;19974;4;Movie 214;3
User 268;19973;4;Movie 10;4
User 299;19974;4;Movie 473;3
User 374;19974;4;Movie 844;4
User 59;19981;4;Movie 83;4
User 253;19982;4;Movie 273;3
User 117;19974;4;Movie 743;1
User 215;19982;4;Movie 270;3
User 223;19982;4;Movie 929;3
User 452;19973;4;Movie 506;3
User 91;19982;4;Movie 520;4
User 367;19974;4;Movie 53;4
User 301;19974;4;Movie 42;4
User 406;19974;4;Movie 127;4
User 246;19981;4;Movie 38;2
User 381;19982;4;Movie 607;4
User 268;19973;4;Movie 710;3
User 383;19981;4;Movie 302;4
User 413;19974;4;Movie 326;3
User 347;19974;4;Movie 68;5
User 459;19974;4;Movie 1060;1
User 339;19981;4;Movie 45;5
User 437;19974;4;Movie 65;4
User 339;19981;4;Movie 179;5
User 18;19974;4;Movie 845;3
User 356;19982;4;Movie 326;4
User 174;19981;4;Movie 1074;4
User 286;19981;4;Movie 768;3
User 264;19981;4;Movie 204;5
User 255;19974;4;Movie 829;1
User 234;19982;4;Movie 419;4
User 299;19974;4;Movie 288;3
User 184;19981;4;Movie 657;4
User 239;19981;4;Movie 527;5
User 459;19974;4;Movie 216;3
User 268;19973;4;Movie 47;1
User 373;19974;4;Movie 195;4
User 257;19974;4;Movie 1472;2
User 327;19981;4;Movie 147;2
User 17;19981;4;Movie 150;5
User 26;19982;4;Movie 413;2
User 2;19981;4;Movie 282;4
User 141;19981;4;Movie 756;3
User 271;19981;4;Movie 495;5
User 417;19974;4;Movie 431;4
User 204;19982;4;Movie 242;5
User 265;19973;4;Movie 237;5
User 144;19981;4;Movie 24;4
User 363;19982;4;Movie 444;4
User 22;19974;4;Movie 187;5
User 246;19981;4;Movie 444;4
User 13;19974;4;Movie 550;4
User 380;19981;4;Movie 614;3
User 194;19974;4;Movie 642;2
User 94;19981;4;Movie 154;5
User 42;19974;4;Movie 1;5
User 38;19982;4;Movie 200;5
User 277;19974;4;Movie 237;4
User 297;19974;4;Movie 271;2
User 343;19974;4;Movie 175;5
User 262;19974;4;Movie 974;3
User 330;19974;4;Movie 1084;5
User 224;19981;4;Movie 1058;3
User 430;19974;4;Movie 547;2
User 215;19982;4;Movie 380;3
User 13;19981;4;Movie 538;1
User 38;19982;4;Movie 69;5
User 334;19982;4;Movie 174;4
User 450;19974;4;Movie 495;4
User 299;19981;4;Movie 345;4
User 233;19974;4;Movie 71;5
User 262;19974;4;Movie 1035;3
User 222;19974;4;Movie 450;3
User 57;19981;4;Movie 111;4
User 406;19974;4;Movie 187;2
User 385;19974;4;Movie 111;2
User 373;19974;4;Movie 949;4
User 312;19982;4;Movie 186;3
User 324;19974;4;Movie 872;5
User 65;19974;4;Movie 956;4
User 250;19974;4;Movie 501;5
User 435;19981;4;Movie 465;2
User 308;19981;4;Movie 648;4
User 472;19974;4;Movie 401;4
User 216;19974;4;Movie 122;5
User 417;19974;4;Movie 139;3
User 435;19981;4;Movie 929;2
User 347;19974;4;Movie 271;1
User 373;19974;4;Movie 414;3
User 239;19981;4;Movie 318;1
User 406;19974;4;Movie 1008;4
User 160;19974;4;Movie 844;3
User 339;19981;4;Movie 637;4
User 145;19973;4;Movie 554;3
User 328;19981;4;Movie 273;3
User 348;19981;4;Movie 831;4
User 416;19982;4;Movie 501;5
User 334;19982;4;Movie 1016;3
User 280;19982;4;Movie 158;2
User 374;19974;4;Movie 254;3
User 387;19981;4;Movie 403;3
User 269;19982;4;Movie 707;2
User 405;19981;4;Movie 1580;1
User 258;19981;4;Movie 333;2
User 456;19974;4;Movie 662;4
User 87;19974;4;Movie 132;5
User 113;19974;4;Movie 268;4
User 453;19981;4;Movie 356;2
User 343;19974;4;Movie 11;5
User 151;19974;4;Movie 136;4
User 5;19974;4;Movie 99;3
User 151;19974;4;Movie 1286;5
User 150;19974;4;Movie 151;4
User 89;19974;4;Movie 875;3
User 299;19974;4;Movie 185;3
User 221;19973;4;Movie 568;4
User 219;19981;4;Movie 269;5
User 407;19973;4;Movie 432;4
User 222;19974;4;Movie 636;4
User 189;19982;4;Movie 131;4
User 239;19981;4;Movie 91;4
User 465;19974;4;Movie 202;4
User 43;19981;4;Movie 283;2
User 326;19974;4;Movie 613;5
User 458;19981;4;Movie 387;4
User 378;19981;4;Movie 295;3
User 160;19974;4;Movie 640;3
User 11;19982;4;Movie 70;4
User 472;19982;4;Movie 11;5
User 252;19982;4;Movie 14;4
User 125;19982;4;Movie 364;3
User 425;19974;4;Movie 324;3
User 200;19981;4;Movie 99;5
User 73;19981;4;Movie 650;3
User 450;19974;4;Movie 382;3
User 349;19974;4;Movie 120;3
User 145;19973;4;Movie 150;5
User 13;19974;4;Movie 669;1
User 405;19981;4;Movie 1268;1
User 116;19974;4;Movie 1013;3
User 277;19974;4;Movie 844;4
User 174;19981;4;Movie 722;4
User 363;19982;4;Movie 568;2
User 106;19974;4;Movie 210;4
User 13;19974;4;Movie 475;3
User 407;19974;4;Movie 144;3
User 420;19981;4;Movie 137;4
User 307;19974;4;Movie 210;2
User 70;19981;4;Movie 181;4
User 276;19973;4;Movie 451;3
User 405;19981;4;Movie 999;1
User 346;19981;4;Movie 92;4
User 13;19982;4;Movie 889;3
User 6;19974;4;Movie 21;3
User 459;19974;4;Movie 134;3
User 343;19974;4;Movie 169;5
User 87;19974;4;Movie 791;2
User 130;19974;4;Movie 249;5
User 18;19974;4;Movie 6;5
User 234;19982;4;Movie 745;4
User 181;19974;4;Movie 931;1
User 456;19974;4;Movie 210;3
User 76;19974;4;Movie 769;1
User 379;19974;4;Movie 127;5
User 379;19981;4;Movie 517;4
User 406;19974;4;Movie 69;4
User 346;19974;4;Movie 302;3
User 432;19981;4;Movie 118;4
User 376;19974;4;Movie 197;4
User 151;19974;4;Movie 462;4
User 450;19974;4;Movie 518;4
User 219;19981;4;Movie 382;5
User 280;19982;4;Movie 1066;4
User 406;19974;4;Movie 825;4
User 117;19974;4;Movie 977;3
User 437;19974;4;Movie 501;4
User 461;19981;4;Movie 302;3
User 387;19981;4;Movie 114;5
User 144;19981;4;Movie 524;5
User 249;19974;4;Movie 1039;5
User 405;19981;4;Movie 308;1
User 15;19974;4;Movie 409;3
User 289;19974;4;Movie 151;2
User 64;19974;4;Movie 847;3
User 158;19974;4;Movie 797;3
User 334;19982;4;Movie 271;3
User 298;19981;4;Movie 471;4
User 463;19981;4;Movie 1132;1
User 113;19973;4;Movie 323;4
User 383;19981;4;Movie 237;4
User 94;19981;4;Movie 11;5
User 339;19981;4;Movie 461;5
User 256;19974;4;Movie 89;5
User 399;19974;4;Movie 413;2
User 379;19974;4;Movie 528;5
User 402;19974;4;Movie 511;5
User 223;19982;4;Movie 295;3
User 90;19982;4;Movie 889;3
User 89;19974;4;Movie 13;2
User 42;19974;4;Movie 387;3
User 272;19974;4;Movie 211;5
User 346;19973;4;Movie 394;4
User 176;19981;4;Movie 111;4
User 450;19974;4;Movie 110;4
User 450;19974;4;Movie 1203;3
User 159;19974;4;Movie 595;5
User 174;19981;4;Movie 846;5
User 87;19974;4;Movie 216;5
User 270;19974;4;Movie 183;5
User 85;19974;4;Movie 190;4
User 282;19974;4;Movie 689;2
User 374;19981;4;Movie 291;3
User 342;19973;4;Movie 111;3
User 286;19974;4;Movie 381;5
User 339;19981;4;Movie 447;4
User 314;19974;4;Movie 946;5
User 472;19974;4;Movie 193;5
User 244;19974;4;Movie 471;1
User 224;19981;4;Movie 28;4
User 358;19982;4;Movie 918;1
User 234;19982;4;Movie 23;4
User 269;19982;4;Movie 148;1
User 60;19974;4;Movie 593;5
User 37;19974;4;Movie 27;4
User 393;19981;4;Movie 317;4
User 117;19974;4;Movie 33;4
User 200;19981;4;Movie 188;4
User 232;19981;4;Movie 209;3
User 130;19974;4;Movie 1046;4
User 110;19981;4;Movie 315;4
User 110;19981;4;Movie 173;1
User 399;19974;4;Movie 746;5
User 321;19974;4;Movie 1331;4
User 181;19974;4;Movie 1363;1
User 357;19974;4;Movie 1;5
User 406;19974;4;Movie 183;5
User 322;19981;4;Movie 234;4
User 290;19974;4;Movie 1079;2
User 430;19974;4;Movie 234;4
User 159;19974;4;Movie 24;5
User 428;19981;4;Movie 750;5
User 286;19981;4;Movie 1280;5
User 194;19974;4;Movie 403;2
User 145;19973;4;Movie 242;5
User 457;19974;4;Movie 58;4
User 369;19981;4;Movie 168;3
User 454;19981;4;Movie 144;4
User 417;19974;4;Movie 1028;3
User 94;19982;4;Movie 739;2
User 42;19974;4;Movie 371;4
User 390;19974;4;Movie 515;4
User 11;19982;4;Movie 274;3
User 286;19974;4;Movie 125;4
User 200;19981;4;Movie 679;4
User 398;19974;4;Movie 167;3
User 222;19981;4;Movie 407;2
User 435;19981;4;Movie 597;3
User 326;19974;4;Movie 170;2
User 119;19981;4;Movie 591;4
User 410;19981;4;Movie 313;5
User 221;19973;4;Movie 64;5
User 442;19974;4;Movie 834;2
User 115;19974;4;Movie 596;1
User 435;19981;4;Movie 204;3
User 18;19974;4;Movie 378;3
User 449;19974;4;Movie 212;5
User 193;19981;4;Movie 246;3
User 389;19974;4;Movie 47;4
User 429;19974;4;Movie 208;4
User 311;19981;4;Movie 202;4
User 472;19982;4;Movie 877;3
User 378;19974;4;Movie 401;4
User 130;19973;4;Movie 1039;4
User 99;19981;4;Movie 28;3
User 145;19981;4;Movie 820;2
User 272;19974;4;Movie 746;3
User 62;19974;4;Movie 250;5
User 452;19981;4;Movie 276;1
User 381;19982;4;Movie 631;4
User 373;19974;4;Movie 421;4
User 96;19981;4;Movie 187;5
User 350;19974;4;Movie 204;4
User 425;19974;4;Movie 177;3
User 26;19981;4;Movie 1;3
User 452;19974;4;Movie 201;1
User 399;19974;4;Movie 41;2
User 90;19982;4;Movie 162;5
User 30;19981;4;Movie 242;5
User 422;19974;4;Movie 270;3
User 286;19974;4;Movie 186;5
User 380;19981;4;Movie 31;1
User 64;19981;4;Movie 81;4
User 181;19974;4;Movie 991;1
User 41;19981;4;Movie 474;5
User 365;19981;4;Movie 762;4
User 233;19974;4;Movie 584;4
User 280;19982;4;Movie 118;2
User 92;19981;4;Movie 456;2
User 42;19974;4;Movie 1047;4
User 452;19973;4;Movie 89;5
User 154;19974;4;Movie 474;5
User 42;19974;4;Movie 427;4
User 121;19982;4;Movie 124;5
User 291;19973;4;Movie 1073;5
User 393;19981;4;Movie 842;4
User 144;19981;4;Movie 1138;4
User 102;19982;4;Movie 778;3
User 223;19982;4;Movie 476;3
User 286;19974;4;Movie 47;4
User 348;19981;4;Movie 412;2
User 188;19973;4;Movie 568;4
User 346;19973;4;Movie 22;5
User 98;19974;4;Movie 629;5
User 162;19974;4;Movie 1011;4
User 85;19974;4;Movie 385;3
User 459;19974;4;Movie 358;2
User 92;19973;4;Movie 167;3
User 108;19974;4;Movie 304;3
User 327;19981;4;Movie 132;5
User 309;19974;4;Movie 331;5
User 23;19973;4;Movie 95;4
User 43;19981;4;Movie 742;5
User 450;19974;4;Movie 710;3
User 234;19982;4;Movie 1203;4
User 108;19974;4;Movie 718;4
User 343;19974;4;Movie 66;3
User 305;19981;4;Movie 963;4
User 314;19974;4;Movie 762;4
User 319;19974;4;Movie 340;3
User 345;19981;4;Movie 1053;3
User 437;19974;4;Movie 710;4
User 225;19974;4;Movie 1203;5
User 401;19981;4;Movie 71;2
User 472;19982;4;Movie 258;5
User 312;19982;4;Movie 633;5
User 194;19974;4;Movie 31;3
User 450;19981;4;Movie 660;4
User 64;19981;4;Movie 209;5
User 65;19974;4;Movie 65;3
User 59;19981;4;Movie 963;5
User 447;19974;4;Movie 9;2
User 11;19982;4;Movie 423;5
User 256;19974;4;Movie 38;4
User 85;19974;4;Movie 195;3
User 471;19981;4;Movie 95;4
User 407;19974;4;Movie 1118;4
User 383;19981;4;Movie 427;5
User 214;19982;4;Movie 752;2
User 145;19974;4;Movie 209;4
User 389;19974;4;Movie 475;5
User 463;19974;4;Movie 455;3
User 405;19981;4;Movie 1384;1
User 177;19974;4;Movie 154;4
User 456;19974;4;Movie 274;3
User 174;19981;4;Movie 388;1
User 224;19981;4;Movie 280;4
User 244;19974;4;Movie 410;4
User 223;19982;4;Movie 1291;3
User 234;19982;4;Movie 22;4
User 393;19981;4;Movie 497;4
User 315;19974;4;Movie 382;4
User 450;19974;4;Movie 152;5
User 406;19974;4;Movie 7;4
User 414;19981;4;Movie 678;1
User 334;19982;4;Movie 213;4
User 158;19974;4;Movie 173;5
User 397;19974;4;Movie 288;4
User 457;19974;4;Movie 385;4
User 178;19974;4;Movie 123;4
User 474;19981;4;Movie 8;5
User 472;19982;4;Movie 168;5
User 417;19974;4;Movie 422;3
User 416;19981;4;Movie 549;4
User 137;19974;4;Movie 181;5
User 230;19974;4;Movie 71;5
User 295;19974;4;Movie 720;4
User 216;19974;4;Movie 475;5
User 433;19974;4;Movie 682;2
User 216;19974;4;Movie 188;5
User 280;19982;4;Movie 699;4
User 234;19982;4;Movie 1200;3
User 24;19973;4;Movie 127;5
User 281;19974;4;Movie 288;4
User 45;19974;4;Movie 823;4
User 13;19974;4;Movie 51;3
User 334;19982;4;Movie 500;3
User 471;19981;4;Movie 140;5
User 271;19981;4;Movie 193;5
User 432;19981;4;Movie 871;2
User 303;19974;4;Movie 156;5
User 436;19981;4;Movie 787;5
User 327;19981;4;Movie 1;4
User 307;19974;4;Movie 286;3
User 290;19974;4;Movie 139;2
User 94;19982;4;Movie 274;4
User 236;19981;4;Movie 659;3
User 405;19981;4;Movie 53;2
User 295;19974;4;Movie 386;4
User 149;19974;4;Movie 326;3
User 450;19974;4;Movie 304;4
User 351;19974;4;Movie 751;4
User 411;19982;4;Movie 770;4
User 335;19982;4;Movie 313;3
User 416;19974;4;Movie 10;3
User 324;19974;4;Movie 288;5
User 151;19974;4;Movie 483;5
User 334;19982;4;Movie 347;3
User 269;19982;4;Movie 469;4
User 95;19981;4;Movie 415;3
User 336;19974;4;Movie 790;2
User 95;19974;4;Movie 1231;1
User 131;19981;4;Movie 124;5
User 175;19974;4;Movie 100;2
User 472;19974;4;Movie 449;5
User 336;19974;4;Movie 401;1
User 109;19974;4;Movie 179;4
User 407;19974;4;Movie 382;3
User 309;19974;4;Movie 1025;5
User 466;19981;4;Movie 354;2
User 136;19974;4;Movie 286;5
User 294;19981;4;Movie 122;3
User 378;19974;4;Movie 174;4
User 342;19973;4;Movie 727;3
User 450;19981;4;Movie 520;5
User 410;19981;4;Movie 289;1
User 7;19981;4;Movie 499;4
User 169;19981;4;Movie 213;5
User 138;19974;4;Movie 13;4
User 405;19981;4;Movie 753;1
User 450;19974;4;Movie 604;4
User 398;19973;4;Movie 993;3
User 327;19981;4;Movie 506;3
User 222;19974;4;Movie 623;2
User 405;19981;4;Movie 693;2
User 303;19974;4;Movie 872;3
User 447;19974;4;Movie 206;4
User 66;19974;4;Movie 24;3
User 436;19981;4;Movie 215;4
User 334;19982;4;Movie 429;4
User 293;19981;4;Movie 582;4
User 119;19973;4;Movie 597;4
User 271;19981;4;Movie 130;1
User 105;19981;4;Movie 288;4
User 405;19981;4;Movie 1530;1
User 42;19974;4;Movie 290;3
User 429;19974;4;Movie 636;3
User 345;19981;4;Movie 568;4
User 331;19974;4;Movie 223;4
User 207;19974;4;Movie 660;4
User 255;19974;4;Movie 200;3
User 87;19974;4;Movie 321;2
User 174;19981;4;Movie 742;4
User 194;19974;4;Movie 154;3
User 13;19981;4;Movie 329;2
User 145;19981;4;Movie 407;2
User 201;19981;4;Movie 53;3
User 337;19973;4;Movie 222;5
User 334;19982;4;Movie 239;3
User 465;19974;4;Movie 114;4
User 1;19973;4;Movie 22;4
User 363;19982;4;Movie 290;3
User 435;19981;4;Movie 1039;4
User 223;19982;4;Movie 1009;1
User 119;19973;4;Movie 50;5
User 367;19974;4;Movie 406;4
User 10;19974;4;Movie 216;4
User 308;19981;4;Movie 597;3
User 189;19982;4;Movie 423;5
User 276;19973;4;Movie 153;4
User 303;19974;4;Movie 321;3
User 152;19974;4;Movie 1054;1
User 455;19974;4;Movie 738;3
User 308;19981;4;Movie 712;4
User 456;19974;4;Movie 187;4
User 98;19974;4;Movie 523;5
User 416;19974;4;Movie 106;3
User 5;19973;4;Movie 21;3
User 1;19974;4;Movie 21;1
User 407;19973;4;Movie 510;4
User 453;19981;4;Movie 1157;2
User 314;19974;4;Movie 278;5
User 403;19974;4;Movie 546;3
User 227;19974;4;Movie 322;3
User 110;19981;4;Movie 1231;2
User 44;19974;4;Movie 946;3
User 391;19974;4;Movie 678;2
User 291;19973;4;Movie 685;5
User 125;19982;4;Movie 748;3
User 394;19974;4;Movie 383;2
User 297;19973;4;Movie 17;3
User 150;19974;4;Movie 324;4
User 63;19974;4;Movie 929;3
User 13;19974;4;Movie 804;2
User 450;19974;4;Movie 642;4
User 474;19981;4;Movie 602;3
User 215;19982;4;Movie 229;3
User 75;19981;4;Movie 301;4
User 370;19974;4;Movie 294;1
User 167;19982;4;Movie 1308;1
User 178;19974;4;Movie 2;4
User 177;19974;4;Movie 421;3
User 288;19981;4;Movie 22;5
User 145;19981;4;Movie 1288;4
User 269;19982;4;Movie 1148;4
User 459;19974;4;Movie 357;4
User 274;19974;4;Movie 71;4
User 177;19974;4;Movie 343;3
User 374;19974;4;Movie 135;4
User 456;19974;4;Movie 1248;3
User 269;19982;4;Movie 1479;2
User 159;19974;4;Movie 832;3
User 460;19974;4;Movie 744;3
User 83;19974;4;Movie 2;4
User 373;19974;4;Movie 527;4
User 442;19974;4;Movie 184;2
User 194;19974;4;Movie 456;1
User 13;19974;4;Movie 4;5
User 87;19974;4;Movie 230;5
User 436;19981;4;Movie 98;4
User 412;19974;4;Movie 526;4
User 7;19981;4;Movie 617;5
User 138;19974;4;Movie 435;5
User 145;19973;4;Movie 1047;3
User 405;19981;4;Movie 462;2
User 327;19981;4;Movie 88;2
User 407;19973;4;Movie 56;5
User 42;19974;4;Movie 15;4
User 85;19974;4;Movie 654;4
User 417;19974;4;Movie 449;3
User 21;19973;4;Movie 551;3
User 7;19982;4;Movie 219;1
User 168;19981;4;Movie 125;4
User 90;19982;4;Movie 303;4
User 110;19981;4;Movie 96;4
User 276;19973;4;Movie 380;3
User 406;19974;4;Movie 515;2
User 429;19974;4;Movie 1285;3
User 437;19974;4;Movie 663;5
User 264;19981;4;Movie 192;4
User 144;19981;4;Movie 20;4
User 295;19974;4;Movie 238;4
User 145;19973;4;Movie 673;4
User 334;19982;4;Movie 131;4
User 386;19974;4;Movie 1016;4
User 346;19973;4;Movie 572;5
User 389;19974;4;Movie 568;3
User 280;19982;4;Movie 1133;3
User 455;19974;4;Movie 724;3
User 222;19974;4;Movie 540;3
User 24;19973;4;Movie 249;4
User 279;19981;4;Movie 594;1
User 444;19982;4;Movie 916;3
User 215;19982;4;Movie 523;4
User 193;19981;4;Movie 187;4
User 318;19981;4;Movie 1120;3
User 200;19974;4;Movie 1;5
User 447;19974;4;Movie 760;4
User 244;19974;4;Movie 451;4
User 144;19981;4;Movie 470;2
User 59;19981;4;Movie 51;5
User 295;19974;4;Movie 420;4
User 23;19973;4;Movie 408;5
User 374;19974;4;Movie 71;5
User 317;19982;4;Movie 313;4
User 367;19974;4;Movie 561;4
User 198;19981;4;Movie 187;4
User 188;19973;4;Movie 1263;3
User 267;19974;4;Movie 33;5
User 201;19981;4;Movie 448;3
User 198;19981;4;Movie 979;5
User 151;19974;4;Movie 98;4
User 342;19973;4;Movie 663;4
User 407;19974;4;Movie 416;3
User 99;19981;4;Movie 64;5
User 405;19981;4;Movie 1119;3
User 407;19973;4;Movie 371;2
User 128;19974;4;Movie 622;4
User 178;19974;4;Movie 197;2
User 405;19981;4;Movie 77;1
User 472;19981;4;Movie 826;3
User 299;19974;4;Movie 264;2
User 457;19974;4;Movie 156;5
User 108;19974;4;Movie 222;2
User 394;19974;4;Movie 561;4
User 95;19974;4;Movie 520;4
User 291;19973;4;Movie 825;4
User 303;19974;4;Movie 953;3
User 450;19974;4;Movie 494;3
User 222;19974;4;Movie 89;5
User 363;19982;4;Movie 428;5
User 397;19981;4;Movie 95;4
User 21;19973;4;Movie 123;4
User 184;19981;4;Movie 736;3
User 324;19974;4;Movie 255;4
User 75;19981;4;Movie 225;2
User 389;19974;4;Movie 604;4
User 130;19974;4;Movie 132;5
User 276;19973;4;Movie 197;5
User 64;19981;4;Movie 313;4
User 27;19982;4;Movie 50;3
User 456;19974;4;Movie 979;3
User 340;19981;4;Movie 588;5
User 135;19974;4;Movie 173;4
User 125;19974;4;Movie 211;3
User 403;19974;4;Movie 925;4
User 290;19974;4;Movie 15;4
User 166;19981;4;Movie 751;4
User 417;19974;4;Movie 692;4
User 423;19982;4;Movie 333;3
User 21;19973;4;Movie 767;1
User 59;19981;4;Movie 919;4
User 352;19981;4;Movie 273;2
User 363;19982;4;Movie 137;5
User 288;19981;4;Movie 180;5
User 405;19981;4;Movie 946;2
User 406;19974;4;Movie 633;5
User 235;19981;4;Movie 194;5
User 340;19981;4;Movie 486;4
User 145;19974;4;Movie 558;2
User 109;19974;4;Movie 231;3
User 181;19974;4;Movie 1339;1
User 417;19974;4;Movie 1014;4
User 11;19982;4;Movie 433;4
User 426;19974;4;Movie 428;2
User 117;19974;4;Movie 748;3
User 312;19982;4;Movie 89;5
User 416;19982;4;Movie 258;5
User 410;19981;4;Movie 538;3
User 305;19981;4;Movie 96;3
User 95;19974;4;Movie 127;4
User 383;19981;4;Movie 639;4
User 452;19981;4;Movie 121;5
User 295;19974;4;Movie 965;4
User 383;19981;4;Movie 135;5
User 236;19981;4;Movie 504;3
User 373;19974;4;Movie 155;4
User 85;19981;4;Movie 150;3
User 406;19974;4;Movie 692;3
User 225;19974;4;Movie 566;4
User 465;19974;4;Movie 216;3
User 305;19981;4;Movie 628;4
User 265;19973;4;Movie 1197;2
User 160;19974;4;Movie 169;4
